run,label,status,samples,cpu_seconds,cpu_percent_of_one_core,rss_kb_avg,rss_kb_max,bpf_map_snapshot
run-1,observe_only_cgroup,present,5,0.030000,0.375,7402.400,10912,1
run-1,active_cgroup,present,5,0.040000,0.500,8211.200,15080,1
run-1,active_sched_ext,present,6,0.030000,0.375,7644.000,12164,1
run-10,observe_only_cgroup,present,6,0.040000,0.500,7759.333,13400,1
run-10,active_cgroup,present,5,0.030000,0.375,8298.400,15504,1
run-10,active_sched_ext,present,6,0.050000,0.625,6636.667,7032,1
run-2,observe_only_cgroup,present,5,0.020000,0.250,8536.000,16404,1
run-2,active_cgroup,present,5,0.040000,0.500,7340.800,10716,1
run-2,active_sched_ext,present,6,0.050000,0.625,6564.000,7364,1
run-3,observe_only_cgroup,present,5,0.030000,0.375,7864.000,13460,1
run-3,active_cgroup,present,6,0.030000,0.375,8062.667,15480,1
run-3,active_sched_ext,present,6,0.050000,0.625,7338.667,10352,1
run-4,observe_only_cgroup,present,6,0.030000,0.375,8276.000,16276,1
run-4,active_cgroup,present,5,0.040000,0.500,7989.600,14040,1
run-4,active_sched_ext,present,6,0.030000,0.375,7232.667,10144,1
run-5,observe_only_cgroup,present,5,0.040000,0.500,7868.000,13456,1
run-5,active_cgroup,present,6,0.050000,0.625,7365.333,11408,1
run-5,active_sched_ext,present,5,0.050000,0.625,7383.200,10708,1
run-6,observe_only_cgroup,present,5,0.040000,0.500,7045.600,9000,1
run-6,active_cgroup,present,6,0.040000,0.500,7532.000,12252,1
run-6,active_sched_ext,present,6,0.040000,0.500,7454.667,11412,1
run-7,observe_only_cgroup,present,6,0.030000,0.375,8194.667,16144,1
run-7,active_cgroup,present,6,0.040000,0.500,7236.667,10744,1
run-7,active_sched_ext,present,6,0.030000,0.375,7451.333,11224,1
run-8,observe_only_cgroup,present,6,0.030000,0.375,8118.667,15540,1
run-8,active_cgroup,present,6,0.040000,0.500,8015.333,15460,1
run-8,active_sched_ext,present,6,0.050000,0.625,7296.667,10420,1
run-9,observe_only_cgroup,present,6,0.030000,0.375,7488.667,11400,1
run-9,active_cgroup,present,5,0.040000,0.500,7482.400,11108,1
run-9,active_sched_ext,present,6,0.050000,0.625,7084.000,8680,1
