"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"SET","10834.24","4.842","0.352","2.751","12.167","16.511","547.327"
"GET","10460.25","5.422","0.344","6.631","10.783","12.991","15.743"
"INCR","9960.16","5.735","0.160","6.927","10.823","13.423","33.535"
"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"SET","12706.48","4.321","0.360","3.023","10.287","11.567","14.911"
"GET","31055.90","1.565","0.392","1.455","2.919","3.887","5.959"
"INCR","31512.60","1.576","0.440","1.471","2.871","3.855","6.967"
"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"SET","31779.66","1.527","0.416","1.447","2.831","3.295","5.527"
"GET","31746.03","1.506","0.408","1.423","2.903","3.135","5.871"
"INCR","34090.91","1.493","0.384","1.447","2.247","3.015","5.055"
"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"SET","31645.57","1.558","0.432","1.463","2.479","3.895","11.687"
"GET","34403.67","1.429","0.392","1.391","2.207","2.967","5.095"
"INCR","33222.59","1.480","0.336","1.431","2.303","3.047","4.343"
"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"SET","30927.83","1.544","0.280","1.439","2.951","3.591","7.663"
"GET","35502.96","1.443","0.424","1.423","2.159","2.455","4.487"
"INCR","32858.71","1.494","0.432","1.431","2.351","3.095","5.343"
"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"SET","31612.22","1.526","0.408","1.455","2.527","3.335","5.287"
"GET","33632.29","1.443","0.424","1.407","2.231","2.983","3.647"
"INCR","32822.76","1.506","0.392","1.447","2.303","3.263","8.343"
"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"SET","32502.71","1.516","0.256","1.455","2.359","3.159","5.871"
"GET","33975.09","1.477","0.384","1.439","2.255","3.007","5.223"
"INCR","32085.56","1.504","0.440","1.431","2.511","3.119","5.055"
"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"SET","28116.21","1.644","0.432","1.503","3.015","3.567","6.183"
"GET","33745.78","1.484","0.304","1.439","2.247","3.055","7.127"
"INCR","28957.53","1.605","0.296","1.479","2.975","3.831","5.783"
"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"SET","29126.21","1.582","0.432","1.455","2.975","3.367","5.511"
"GET","34129.69","1.489","0.416","1.439","2.247","3.015","5.615"
"INCR","33632.29","1.490","0.416","1.439","2.287","3.215","5.503"
"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"SET","34364.26","1.404","0.328","1.399","2.079","2.455","5.047"
"GET","35419.12","1.312","0.200","1.311","1.951","2.151","5.351"
"INCR","34246.57","1.410","0.216","1.391","2.127","2.903","5.255"
"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"SET","30518.82","1.577","0.352","1.479","2.967","3.143","5.175"
"GET","33783.79","1.498","0.216","1.455","2.295","3.167","4.655"
"INCR","33149.17","1.493","0.344","1.431","2.359","3.375","4.791"
"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"SET","34482.76","1.360","0.336","1.351","2.023","2.367","3.863"
"GET","35046.73","1.250","0.352","1.239","1.831","2.031","3.671"
"INCR","34052.21","1.363","0.224","1.335","2.031","2.631","9.415"
"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"SET","32786.88","1.467","0.376","1.439","2.215","3.103","4.279"
"GET","34052.21","1.449","0.264","1.423","2.167","2.975","5.631"
"INCR","34642.03","1.434","0.432","1.423","2.127","2.399","5.271"
"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"SET","32017.08","1.557","0.344","1.479","2.447","3.615","5.639"
"GET","33670.04","1.442","0.408","1.383","2.271","3.047","7.167"
"INCR","35756.86","1.426","0.416","1.415","2.135","2.407","3.767"
"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"SET","34246.57","1.373","0.384","1.367","2.031","2.423","4.863"
"GET","33333.34","1.461","0.392","1.407","2.255","3.543","5.919"
"INCR","33557.05","1.453","0.248","1.407","2.215","3.055","11.167"
"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"SET","32786.88","1.464","0.416","1.423","2.271","3.199","5.367"
"GET","28680.69","1.711","0.424","1.647","2.983","3.759","6.231"
"INCR","26109.66","1.907","0.432","1.879","3.047","3.991","7.575"
"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"SET","28763.18","1.894","0.392","1.911","2.743","3.567","5.607"
"GET","19047.62","2.052","0.224","1.967","3.927","4.559","7.327"
"INCR","18844.22","2.141","0.232","2.039","3.951","4.895","7.559"
"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"SET","18738.29","2.230","0.344","2.103","4.135","5.335","7.263"
"GET","18963.34","2.268","0.336","2.119","4.383","5.679","9.015"
"INCR","18656.72","2.270","0.360","2.095","4.535","5.519","8.087"
"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"SET","18281.54","2.299","0.256","2.159","4.367","5.663","7.823"
"GET","18808.78","2.134","0.304","1.975","4.199","5.159","8.487"
"INCR","18844.22","2.237","0.408","2.031","4.319","5.663","8.399"
"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"SET","18337.41","2.267","0.424","2.087","4.279","5.407","7.687"
"GET","19430.05","2.118","0.360","1.951","4.087","5.055","6.863"
"INCR","23828.44","1.703","0.392","1.471","3.055","3.967","5.455"
