run,phase,get_rps,get_p99_ms,active_seen,cooldown_seen,recovery_seen,switch_latency_ms,trace_events,scheduler_update_evidence
run-1,quiet_pre,35919.54,0.423,0,0,1,,20,1
run-1,pressure_active,6083.47,3.391,1,1,1,1053.218,20,1
run-1,recovery,35612.54,0.383,0,0,1,,20,1
run-10,quiet_pre,36075.04,0.407,0,0,1,,20,1
run-10,pressure_active,5771.67,3.711,1,1,1,1217.127,20,1
run-10,recovery,36818.85,0.375,0,0,1,,20,1
run-2,quiet_pre,35186.49,0.367,0,0,1,,20,1
run-2,pressure_active,5872.68,3.687,1,1,1,1122.657,20,1
run-2,recovery,35688.79,0.415,0,0,1,,20,1
run-3,quiet_pre,36443.15,0.439,0,0,1,,20,1
run-3,pressure_active,6369.43,3.327,1,1,1,1120.345,20,1
run-3,recovery,36416.61,0.383,0,0,1,,20,1
run-4,quiet_pre,36153.29,0.415,0,0,1,,20,1
run-4,pressure_active,6512.11,3.695,1,1,1,1119.320,20,1
run-4,recovery,35310.73,0.575,0,0,1,,20,1
run-5,quiet_pre,36179.45,0.407,0,0,1,,20,1
run-5,pressure_active,5778.34,3.543,1,1,1,1147.235,20,1
run-5,recovery,36791.76,0.383,0,0,1,,20,1
run-6,quiet_pre,36496.35,0.407,0,0,1,,20,1
run-6,pressure_active,8131.40,3.311,1,1,1,1017.335,20,1
run-6,recovery,36284.47,0.431,0,0,1,,20,1
run-7,quiet_pre,36630.04,0.423,0,0,1,,20,1
run-7,pressure_active,7133.69,3.471,1,1,1,1124.957,20,1
run-7,recovery,35893.75,0.471,0,0,1,,20,1
run-8,quiet_pre,36927.62,0.391,0,0,1,,20,1
run-8,pressure_active,5820.72,3.199,1,1,1,1125.912,20,1
run-8,recovery,36416.61,0.399,0,0,1,,20,1
run-9,quiet_pre,36127.17,0.415,0,0,1,,20,1
run-9,pressure_active,6379.99,3.311,1,1,1,1120.073,20,1
run-9,recovery,36127.17,0.399,0,0,1,,20,1
