"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"SET","2255.81","10.149","0.296","3.607","7.951","10.695","3000.319"
"GET","32967.03","1.212","0.416","1.031","1.815","3.063","17.615"
"INCR","34013.61","1.183","0.192","1.031","1.807","2.407","19.663"
"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"SET","34482.76","1.198","0.240","1.039","1.863","2.423","15.615"
"GET","34722.22","1.180","0.192","1.023","1.791","2.551","13.543"
"INCR","4922.07","7.905","0.376","1.319","2.983","3.607","3000.319"
"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"SET","34722.22","1.328","0.424","1.327","1.959","2.183","3.159"
"GET","35335.69","1.289","0.360","1.279","1.919","2.199","4.895"
"INCR","34883.72","1.375","0.248","1.359","2.071","2.823","5.607"
"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"SET","32467.53","1.540","0.408","1.455","2.423","3.391","11.367"
"GET","36057.69","1.373","0.400","1.375","2.055","2.303","3.279"
"INCR","35294.12","1.408","0.424","1.407","2.095","2.367","5.023"
"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"SET","34364.26","1.404","0.384","1.391","2.087","2.671","5.247"
"GET","35714.29","1.326","0.416","1.335","1.975","2.167","3.807"
"INCR","34883.72","1.390","0.384","1.383","2.071","2.647","5.143"
"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"SET","32362.46","1.391","0.424","1.343","2.143","3.095","5.199"
"GET","34443.17","1.261","0.312","1.231","1.871","2.215","5.871"
"INCR","32751.09","1.345","0.376","1.279","2.039","3.111","11.591"
"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"SET","32894.74","1.441","0.448","1.407","2.151","3.455","7.655"
"GET","34642.03","1.272","0.272","1.255","1.887","2.127","4.535"
"INCR","34843.21","1.374","0.408","1.375","2.039","2.375","4.775"
"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"SET","32327.59","1.390","0.336","1.351","2.119","3.079","5.871"
"GET","34013.61","1.316","0.240","1.279","1.959","3.111","5.487"
"INCR","34285.71","1.336","0.400","1.319","1.991","2.383","4.695"
"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"SET","32822.76","1.496","0.288","1.463","2.239","3.095","6.535"
"GET","35169.99","1.311","0.416","1.311","1.951","2.207","4.431"
"INCR","33003.30","1.442","0.368","1.391","2.271","3.039","5.391"
"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"SET","27548.21","1.614","0.448","1.455","3.031","3.255","5.743"
"GET","34883.72","1.298","0.376","1.295","1.919","2.167","3.943"
"INCR","34403.67","1.445","0.432","1.423","2.175","2.607","9.559"
"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"SET","34642.03","1.469","0.296","1.439","2.207","2.487","4.687"
"GET","35502.96","1.353","0.384","1.343","2.039","2.607","4.903"
"INCR","34482.76","1.442","0.392","1.415","2.175","3.151","6.783"
"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"SET","33333.34","1.408","0.448","1.399","2.095","2.599","4.103"
"GET","34324.94","1.238","0.288","1.207","1.847","2.143","4.767"
"INCR","32858.71","1.337","0.336","1.287","1.999","3.303","6.463"
"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"SET","27447.39","1.563","0.272","1.415","3.015","3.119","5.175"
"GET","28598.66","1.553","0.312","1.415","3.007","3.423","5.351"
"INCR","32362.46","1.433","0.408","1.391","2.295","3.055","5.359"
"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"SET","33594.62","1.274","0.424","1.263","1.863","2.079","3.095"
"GET","34090.91","1.260","0.240","1.239","1.871","2.191","4.127"
"INCR","31612.22","1.378","0.408","1.303","2.119","3.095","11.063"
"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"SET","29644.27","1.586","0.408","1.471","2.975","3.551","7.079"
"GET","33821.87","1.477","0.416","1.439","2.263","3.007","4.183"
"INCR","34246.57","1.488","0.368","1.439","2.239","3.047","8.599"
"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"SET","31645.57","1.514","0.336","1.455","2.447","3.215","4.255"
"GET","29013.54","1.487","0.384","1.343","2.975","3.959","10.679"
"INCR","35502.96","1.436","0.440","1.423","2.143","2.359","2.927"
"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"SET","29761.90","1.548","0.448","1.439","2.999","3.703","5.735"
"GET","33039.65","1.307","0.384","1.255","1.983","3.031","5.327"
"INCR","35128.81","1.336","0.272","1.343","1.983","2.199","3.095"
"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"SET","31880.98","1.453","0.312","1.391","2.303","3.351","5.423"
"GET","34965.04","1.320","0.248","1.319","1.959","2.191","4.599"
"INCR","34642.03","1.392","0.400","1.383","2.079","2.479","6.567"
"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"SET","33557.05","1.499","0.280","1.471","2.247","2.927","5.567"
"GET","34843.21","1.309","0.304","1.303","1.943","2.215","4.151"
"INCR","33936.65","1.398","0.232","1.383","2.095","2.991","4.383"
"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"SET","29069.77","1.590","0.224","1.455","3.015","3.583","5.455"
"GET","29761.90","1.534","0.248","1.423","2.983","3.111","4.639"
"INCR","26761.82","1.614","0.408","1.439","3.031","3.943","5.255"
