workers,status,test,quiet_default_rps_avg,quiet_default_p99_ms_avg,quiet_default_cpu_per_10k_requests_avg,noisy_default_rps_avg,noisy_default_p99_ms_avg,noisy_default_cpu_per_10k_requests_avg,noisy_cgroup_v2_rps_avg,noisy_cgroup_v2_p99_ms_avg,noisy_cgroup_v2_cpu_per_10k_requests_avg,noisy_scx_psi_rps_avg,noisy_scx_psi_p99_ms_avg,noisy_scx_psi_cpu_per_10k_requests_avg
0,present,GET,35536.910,0.532,421.292,35843.747,0.428,422.958,35612.683,0.426,426.458,7175.747,3.586,1532.500
0,present,INCR,35648.827,0.418,421.292,36169.750,0.418,422.958,35254.340,0.498,426.458,7762.697,3.623,1532.500
0,present,PING_INLINE,31305.787,1.084,421.292,33044.443,0.738,422.958,30001.430,0.759,426.458,7950.733,4.218,1532.500
0,present,SET,35671.127,0.503,421.292,35453.527,0.522,422.958,35670.763,0.415,426.458,7644.853,4.031,1532.500
1,present,GET,35622.107,0.474,420.750,20605.703,1.098,620.208,31043.893,0.871,573.083,11165.753,4.295,1232.167
1,present,INCR,35980.797,0.460,420.750,20530.383,0.908,620.208,32571.923,0.786,573.083,11301.833,4.290,1232.167
1,present,PING_INLINE,33595.660,0.738,420.750,19664.950,1.324,620.208,18609.357,1.874,573.083,11001.313,4.378,1232.167
1,present,SET,36151.960,0.460,420.750,20422.300,1.159,620.208,25794.067,1.098,573.083,11136.263,4.356,1232.167
2,present,GET,35697.353,0.471,427.458,17150.813,3.234,663.958,34357.107,1.516,556.542,10304.917,5.167,1438.875
2,present,INCR,31951.307,0.516,427.458,17540.767,3.087,663.958,32634.860,1.444,556.542,11021.477,4.748,1438.875
2,present,PING_INLINE,26416.167,0.812,427.458,17301.350,3.108,663.958,18824.750,2.948,556.542,10428.787,5.591,1438.875
2,present,SET,35514.620,0.444,427.458,16470.380,3.151,663.958,28914.373,2.026,556.542,10543.590,5.143,1438.875
4,present,GET,35961.930,0.484,422.125,11797.980,4.362,741.833,32710.083,1.658,563.417,11589.953,5.714,1418.208
4,present,INCR,36297.960,0.439,422.125,12559.880,4.514,741.833,34019.760,1.460,563.417,7916.023,7.556,1418.208
4,present,PING_INLINE,31524.263,1.188,422.125,13199.150,4.503,741.833,12770.947,5.154,563.417,10120.977,7.122,1418.208
4,present,SET,36049.853,0.503,422.125,11074.713,4.991,741.833,34338.297,1.127,563.417,9615.007,6.860,1418.208
8,present,GET,35642.167,0.436,426.125,7740.483,7.042,793.208,33540.133,1.255,572.083,7348.103,9.188,1401.042
8,present,INCR,35449.093,0.410,426.125,7765.427,8.228,793.208,34582.433,1.196,572.083,7235.580,10.140,1401.042
8,present,PING_INLINE,30730.317,1.410,426.125,7861.063,8.151,793.208,8468.003,7.084,572.083,6613.020,11.148,1401.042
8,present,SET,35225.797,0.594,426.125,8620.653,7.866,793.208,32815.013,1.559,572.083,9381.103,6.831,1401.042
