"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"SET","28436.02","1.586","0.424","1.375","3.087","5.983","9.975"
"GET","29791.46","1.437","0.424","1.311","2.943","4.031","9.423"
"INCR","32258.06","1.434","0.232","1.375","2.279","3.599","6.743"
"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"SET","28846.15","1.547","0.424","1.447","2.983","4.047","6.335"
"GET","32397.41","1.370","0.432","1.295","2.135","3.751","7.911"
"INCR","33333.34","1.397","0.328","1.367","2.127","3.063","5.319"
"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"SET","29154.52","1.462","0.400","1.351","2.983","3.231","5.159"
"GET","33370.41","1.286","0.248","1.239","1.911","3.087","5.247"
"INCR","33076.07","1.296","0.272","1.239","1.927","3.079","6.335"
"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"SET","32822.76","1.506","0.360","1.431","2.271","4.703","8.143"
"GET","33594.62","1.318","0.304","1.263","1.903","3.031","10.535"
"INCR","33783.79","1.358","0.264","1.311","2.087","3.055","6.207"
"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"SET","26954.18","1.589","0.408","1.423","3.023","3.719","5.175"
"GET","32362.46","1.363","0.360","1.279","1.991","4.135","12.471"
"INCR","31120.33","1.383","0.288","1.295","2.631","3.231","6.807"
"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"SET","31088.08","1.547","0.240","1.455","2.519","3.295","19.199"
"GET","33745.78","1.398","0.408","1.367","2.143","3.063","6.279"
"INCR","32894.74","1.398","0.328","1.327","2.095","3.215","18.383"
"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"SET","31678.99","1.519","0.440","1.431","2.359","3.287","16.623"
"GET","33670.04","1.353","0.328","1.327","2.015","2.983","5.399"
"INCR","32085.56","1.421","0.296","1.367","2.167","3.167","6.311"
"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"SET","32292.79","1.518","0.440","1.455","2.311","3.159","14.911"
"GET","31120.33","1.436","0.344","1.359","2.911","3.119","6.287"
"INCR","31712.47","1.424","0.416","1.343","2.311","3.223","15.111"
"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"SET","29382.96","1.600","0.416","1.463","2.975","4.863","17.631"
