workers,status,test,quiet_default_rps_avg,quiet_default_p99_ms_avg,quiet_default_cpu_per_10k_requests_avg,noisy_default_rps_avg,noisy_default_p99_ms_avg,noisy_default_cpu_per_10k_requests_avg,noisy_cgroup_v2_rps_avg,noisy_cgroup_v2_p99_ms_avg,noisy_cgroup_v2_cpu_per_10k_requests_avg,noisy_scx_psi_rps_avg,noisy_scx_psi_p99_ms_avg,noisy_scx_psi_cpu_per_10k_requests_avg
0,present,GET,35026.843,0.490,424.458,36171.210,0.402,418.083,36342.037,0.423,420.750,8531.840,3.452,1582.792
0,present,INCR,36213.230,0.415,424.458,36063.240,0.399,418.083,35969.983,0.455,420.750,9126.510,3.468,1582.792
0,present,PING_INLINE,33393.157,0.751,424.458,32207.300,0.951,418.083,30881.583,0.970,420.750,2585.437,4.615,1582.792
0,present,SET,36453.410,0.498,424.458,35976.147,0.423,418.083,36426.497,0.407,420.750,7453.553,3.687,1582.792
1,present,GET,36459.303,0.394,417.833,20556.080,0.839,624.333,26015.433,0.866,593.250,9442.210,4.439,1578.167
1,present,INCR,36640.323,0.423,417.833,20390.620,0.898,624.333,31190.730,0.866,593.250,9729.077,4.306,1578.167
1,present,PING_INLINE,31352.967,1.204,417.833,19743.970,2.018,624.333,19385.333,1.922,593.250,4339.560,7.970,1578.167
1,present,SET,36550.817,0.402,417.833,20026.840,0.879,624.333,19661.870,0.887,593.250,9424.673,4.268,1578.167
2,present,GET,35861.587,0.418,419.625,16599.850,3.260,660.708,31157.923,2.276,588.167,10404.600,5.071,1528.708
2,present,INCR,35801.547,0.506,419.625,17787.070,3.282,660.708,32413.927,1.532,588.167,11080.307,4.802,1528.708
2,present,PING_INLINE,30606.683,0.986,419.625,17959.870,3.332,660.708,16208.210,3.476,588.167,11198.870,5.202,1528.708
2,present,SET,35912.460,0.410,419.625,17667.323,2.858,660.708,19095.673,3.055,588.167,10792.237,4.911,1528.708
4,present,GET,36607.880,0.383,417.792,12319.077,4.850,733.125,29105.007,1.871,616.583,9143.727,5.492,1759.917
4,present,INCR,35992.980,0.500,417.792,12724.317,4.311,733.125,30620.287,1.663,616.583,11459.587,4.764,1759.917
4,present,PING_INLINE,31617.353,1.028,417.792,13512.603,4.412,733.125,11301.093,5.522,616.583,3543.283,9.332,1759.917
4,present,SET,36239.817,0.434,417.792,11482.840,5.015,733.125,25792.750,2.495,616.583,7884.523,12.234,1759.917
8,present,GET,36743.963,0.404,415.875,9292.700,5.439,778.000,33291.173,1.295,607.042,8503.623,5.554,1923.292
8,present,INCR,36456.670,0.439,415.875,10347.587,4.956,778.000,33289.693,1.586,607.042,7236.677,3.511,1923.292
8,present,PING_INLINE,31962.677,1.002,415.875,7954.913,7.871,778.000,9048.667,6.663,607.042,4258.257,10.178,1923.292
8,present,SET,36612.160,0.407,415.875,9143.820,5.298,778.000,28595.350,1.986,607.042,4915.043,7.906,1923.292
