"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"SET","14340.34","2.781","0.352","2.607","5.663","7.367","12.031"
"GET","7177.03","8.092","0.344","6.535","12.871","16.295","1120.255"
"INCR","11682.24","4.488","0.352","3.223","10.679","13.919","23.199"
"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"SET","14605.65","2.797","0.368","2.735","5.471","6.671","8.887"
"GET","14541.93","2.801","0.360","2.647","5.559","7.015","9.215"
"INCR","14197.82","2.802","0.360","2.743","5.551","7.055","9.087"
"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"SET","14038.37","2.923","0.328","2.815","5.703","7.191","8.799"
"GET","16611.29","2.419","0.296","1.847","5.383","6.663","9.079"
"INCR","33149.17","1.344","0.272","1.287","2.071","3.015","5.415"
"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"SET","32858.71","1.334","0.352","1.279","1.991","3.095","5.527"
"GET","34129.69","1.284","0.296","1.231","1.943","3.055","6.343"
"INCR","33076.07","1.319","0.328","1.247","1.999","3.159","6.303"
"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"SET","32715.38","1.285","0.280","1.215","1.903","3.207","6.999"
"GET","34285.71","1.139","0.216","1.071","1.695","2.167","4.183"
"INCR","33003.30","1.215","0.368","1.135","1.815","3.127","5.071"
"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"SET","32644.18","1.231","0.304","1.151","1.799","3.047","7.503"
"GET","33594.62","1.183","0.280","1.095","1.775","2.999","5.207"
"INCR","34522.44","1.199","0.384","1.159","1.791","2.175","4.239"
"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"SET","34364.26","1.340","0.232","1.319","1.983","3.015","6.223"
"GET","35046.73","1.249","0.224","1.215","1.863","2.767","5.279"
"INCR","33975.09","1.186","0.216","1.095","1.767","3.319","6.375"
"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"SET","33333.34","1.209","0.384","1.135","1.775","2.991","7.255"
"GET","34522.44","1.151","0.280","1.087","1.703","2.063","4.031"
"INCR","32397.41","1.255","0.336","1.159","1.903","3.383","8.023"
"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"SET","33296.34","1.360","0.344","1.335","1.999","2.991","5.599"
"GET","19317.45","1.819","0.280","1.343","3.063","3.983","5.183"
"INCR","25273.80","1.533","0.208","1.247","3.039","4.031","6.407"
"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"SET","31217.48","1.495","0.408","1.391","2.927","4.519","6.919"
"GET","32432.43","1.411","0.272","1.335","2.479","3.639","5.359"
"INCR","28248.59","1.817","0.352","1.727","2.935","4.863","12.127"
"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"SET","26086.96","1.807","0.360","1.751","3.031","4.007","6.559"
"GET","24449.88","1.787","0.200","1.535","3.303","4.271","10.287"
"INCR","23809.52","1.901","0.392","1.567","3.615","4.527","9.791"
"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"SET","23529.41","1.835","0.456","1.527","3.447","4.407","8.079"
"GET","23584.91","1.816","0.280","1.479","3.495","4.247","6.215"
"INCR","20174.85","2.098","0.336","1.855","4.095","4.975","8.831"
"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"SET","20463.85","2.144","0.376","1.863","4.287","5.071","8.271"
"GET","20080.32","2.052","0.352","1.815","4.087","5.143","8.399"
"INCR","19854.40","2.022","0.416","1.703","3.999","4.767","7.815"
"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"SET","18461.54","2.092","0.240","1.975","4.015","4.879","7.167"
"GET","18796.99","2.014","0.192","1.903","3.999","5.055","8.303"
"INCR","18867.92","2.013","0.264","1.935","3.887","4.679","7.863"
"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"SET","18518.52","2.135","0.224","1.999","4.095","5.023","7.023"
"GET","34443.17","1.167","0.256","1.111","1.743","2.031","5.343"
"INCR","31023.79","1.373","0.264","1.279","2.871","3.071","4.015"
"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"SET","27752.08","1.550","0.424","1.383","3.007","3.943","5.623"
"GET","34642.03","1.337","0.240","1.319","2.007","2.919","5.039"
"INCR","30706.24","1.479","0.368","1.383","2.943","3.215","6.431"
