"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"SET","14104.37","2.867","0.376","2.607","5.847","7.727","18.927"
"GET","13483.15","2.834","0.208","2.671","5.711","7.063","8.775"
"INCR","13934.04","2.877","0.352","2.783","5.631","7.351","21.615"
"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"SET","14051.52","2.914","0.360","2.791","5.623","7.199","9.799"
"GET","14058.11","2.900","0.136","2.767","5.719","7.319","10.351"
"INCR","14436.96","2.762","0.208","2.719","5.471","6.999","10.351"
"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"SET","14058.11","2.910","0.288","2.871","5.455","6.951","8.895"
"GET","13531.80","2.894","0.368","2.871","5.503","7.055","23.711"
"INCR","16384.49","2.482","0.376","2.159","5.239","7.311","19.199"
"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"SET","31347.96","1.448","0.336","1.375","2.191","3.743","14.495"
"GET","31315.24","1.381","0.384","1.287","2.231","3.103","13.879"
"INCR","33594.62","1.363","0.208","1.335","2.047","2.999","6.239"
"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"SET","31813.36","1.374","0.240","1.287","2.031","3.223","17.151"
"GET","24000.00","1.602","0.336","1.263","3.079","5.039","14.543"
"INCR","33149.17","1.275","0.272","1.223","1.911","3.031","5.247"
"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"SET","33745.78","1.434","0.416","1.415","2.159","2.935","5.631"
"GET","33222.59","1.423","0.384","1.375","2.119","2.975","19.711"
"INCR","32679.74","1.445","0.336","1.375","2.239","4.743","6.903"
"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"SET","31645.57","1.401","0.392","1.303","2.199","4.375","9.055"
"GET","28037.38","1.466","0.256","1.279","2.999","3.215","8.087"
"INCR","30456.85","1.481","0.424","1.375","2.967","3.871","6.263"
"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"SET","32467.53","1.375","0.288","1.327","2.071","3.079","6.327"
"GET","29498.53","1.610","0.344","1.495","2.959","4.119","11.847"
"INCR","28116.21","1.835","0.232","1.807","2.991","4.079","6.975"
"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"SET","25575.45","1.882","0.344","1.839","3.071","4.199","6.671"
"GET","21367.52","1.991","0.352","1.679","3.831","4.951","19.311"
"INCR","21261.52","2.025","0.224","1.751","3.815","4.895","20.111"
"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"SET","19710.91","2.078","0.384","1.903","3.887","4.807","19.007"
"GET","19582.25","2.110","0.216","1.911","4.095","5.287","17.231"
"INCR","19749.83","2.105","0.288","1.887","4.167","5.151","15.391"
"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"SET","18963.34","2.207","0.240","2.015","4.207","5.591","16.375"
"GET","20053.47","2.163","0.312","1.943","4.239","5.119","10.639"
"INCR","18927.45","2.144","0.216","1.967","4.231","5.335","8.535"
"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"SET","19071.84","2.085","0.376","1.927","4.127","5.127","18.543"
"GET","18061.41","2.136","0.224","1.975","4.279","5.799","10.295"
"INCR","18656.72","2.127","0.256","1.967","4.191","5.239","8.039"
"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"SET","19011.41","1.936","0.288","1.575","3.471","4.543","7.495"
"GET","26155.19","1.539","0.368","1.335","3.031","3.983","6.207"
"INCR","34443.17","1.398","0.360","1.383","2.079","2.551","5.303"
