run,label,workers,total_ops,ops_per_sec,agent_applied_count,throughput_profile_hits,class_hits_batch,enqueue_batch,dispatch_batch,running_batch
run-1,default_batch,2,1653604352,206700544.000,0.0,0.0,0.0,0.0,0.0,0.0
run-1,cgroup_throughput_first,2,2060619776,206061977.600,32.0,32.0,0.0,0.0,0.0,0.0
run-1,scx_throughput_first,2,484044800,48404480.000,32.0,32.0,9.0,9.0,0.0,58.0
run-10,default_batch,2,1612468224,201558528.000,0.0,0.0,0.0,0.0,0.0,0.0
run-10,cgroup_throughput_first,2,2065821696,206582169.600,32.0,32.0,0.0,0.0,0.0,0.0
run-10,scx_throughput_first,2,450895872,45089587.200,32.0,32.0,27.0,27.0,0.0,175.0
run-2,default_batch,2,1657229312,207153664.000,0.0,0.0,0.0,0.0,0.0,0.0
run-2,cgroup_throughput_first,2,2023301120,202330112.000,32.0,32.0,0.0,0.0,0.0,0.0
run-2,scx_throughput_first,2,411471872,41147187.200,32.0,32.0,11.0,11.0,0.0,74.0
run-3,default_batch,2,1608376320,201047040.000,0.0,0.0,0.0,0.0,0.0,0.0
run-3,cgroup_throughput_first,2,2005233664,200523366.400,32.0,32.0,0.0,0.0,0.0,0.0
run-3,scx_throughput_first,2,464318464,46431846.400,32.0,32.0,13.0,13.0,0.0,86.0
run-4,default_batch,2,1631268864,203908608.000,0.0,0.0,0.0,0.0,0.0,0.0
run-4,cgroup_throughput_first,2,2052816896,205281689.600,32.0,32.0,0.0,0.0,0.0,0.0
run-4,scx_throughput_first,2,468295680,46829568.000,32.0,32.0,15.0,15.0,0.0,96.0
run-5,default_batch,2,1655967744,206995968.000,0.0,0.0,0.0,0.0,0.0,0.0
run-5,cgroup_throughput_first,2,2018283520,201828352.000,32.0,32.0,0.0,0.0,0.0,0.0
run-5,scx_throughput_first,2,436408320,43640832.000,32.0,32.0,17.0,17.0,0.0,109.0
run-6,default_batch,2,1595944960,199493120.000,0.0,0.0,0.0,0.0,0.0,0.0
run-6,cgroup_throughput_first,2,2044321792,204432179.200,32.0,32.0,0.0,0.0,0.0,0.0
run-6,scx_throughput_first,2,384274432,38427443.200,32.0,32.0,19.0,19.0,0.0,123.0
run-7,default_batch,2,1605107712,200638464.000,0.0,0.0,0.0,0.0,0.0,0.0
run-7,cgroup_throughput_first,2,2060800000,206080000.000,32.0,32.0,0.0,0.0,0.0,0.0
run-7,scx_throughput_first,2,455892992,45589299.200,32.0,32.0,21.0,21.0,0.0,136.0
run-8,default_batch,2,1660665856,207583232.000,0.0,0.0,0.0,0.0,0.0,0.0
run-8,cgroup_throughput_first,2,2026053632,202605363.200,32.0,32.0,0.0,0.0,0.0,0.0
run-8,scx_throughput_first,2,430100480,43010048.000,32.0,32.0,23.0,23.0,0.0,150.0
run-9,default_batch,2,1646772224,205846528.000,0.0,0.0,0.0,0.0,0.0,0.0
run-9,cgroup_throughput_first,2,2059055104,205905510.400,32.0,32.0,0.0,0.0,0.0,0.0
run-9,scx_throughput_first,2,427302912,42730291.200,32.0,32.0,25.0,25.0,0.0,164.0
